sensorSF,meshSF,weatherSigma,s0_sent,s1_sent,s2_sent,s3_sent,s4_sent,total_tx,gw1_below,gw2_below,total_below,ns1_rcv,ns2_rcv,total_rcv,der_pct,gw1_dropped,gw1_congestion
9,11,9.0,49,49,49,49,49,245,0.0,1.0,1.0,49,44,93,37.96,0,0
9,12,0.0,49,49,49,49,49,245,0.0,0.0,0.0,49,49,98,40.0,0,0
9,12,3.0,49,49,49,49,49,245,0.0,0.0,0.0,49,49,98,40.0,0,0
9,12,6.0,49,49,49,49,49,245,0.0,0.0,0.0,48,47,95,38.78,0,0
9,12,9.0,49,49,49,49,49,245,0.0,1.0,1.0,42,41,83,33.88,0,0
10,7,0.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,7,3.0,25,25,25,25,25,125,0.0,0.0,0.0,24,24,48,38.4,0,0
10,7,6.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,7,9.0,25,25,25,25,25,125,0.0,0.0,0.0,25,23,48,38.4,0,0
10,8,0.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,8,3.0,25,25,25,25,25,125,0.0,0.0,0.0,25,24,49,39.2,0,0
10,8,6.0,25,25,25,25,25,125,0.0,0.0,0.0,24,23,47,37.6,0,0
10,8,9.0,25,25,25,25,25,125,0.0,0.0,0.0,24,22,46,36.8,0,0
10,9,0.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,9,3.0,25,25,25,25,25,125,0.0,0.0,0.0,25,24,49,39.2,0,0
10,9,6.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,9,9.0,25,25,25,25,25,125,0.0,0.0,0.0,21,24,45,36.0,0,0
10,10,0.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,10,3.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,10,6.0,25,25,25,25,25,125,0.0,0.0,0.0,25,22,47,37.6,0,0
10,10,9.0,25,25,25,25,25,125,0.0,0.0,0.0,24,25,49,39.2,0,0
10,11,0.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,11,3.0,25,25,25,25,25,125,0.0,0.0,0.0,25,24,49,39.2,0,0
10,11,6.0,25,25,25,25,25,125,0.0,0.0,0.0,25,23,48,38.4,0,0
10,11,9.0,25,25,25,25,25,125,0.0,0.0,0.0,25,24,49,39.2,0,0
10,12,0.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,12,3.0,25,25,25,25,25,125,0.0,0.0,0.0,25,25,50,40.0,0,0
10,12,6.0,25,25,25,25,25,125,0.0,0.0,0.0,24,22,46,36.8,0,0
10,12,9.0,25,25,25,25,25,125,0.0,1.0,1.0,25,19,44,35.2,0,0
11,7,0.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,7,3.0,13,13,13,13,13,65,0.0,0.0,0.0,13,12,25,38.46,0,0
11,7,6.0,13,13,13,13,13,65,0.0,0.0,0.0,12,11,23,35.38,0,0
11,7,9.0,13,13,13,13,13,65,0.0,0.0,0.0,12,12,24,36.92,0,0
11,8,0.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,8,3.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,8,6.0,13,13,13,13,13,65,0.0,0.0,0.0,12,12,24,36.92,0,0
11,8,9.0,13,13,13,13,13,65,0.0,0.0,0.0,12,11,23,35.38,0,0
11,9,0.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,9,3.0,13,13,13,13,13,65,0.0,0.0,0.0,13,12,25,38.46,0,0
11,9,6.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,9,9.0,13,13,13,13,13,65,0.0,0.0,0.0,13,11,24,36.92,0,0
11,10,0.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,10,3.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
