gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,der_pct,total_rcv_started,total_rcv_correct,total_collision,radio_der_pct,collision_pct
2,1,MIN,9,8,1906,1546,0,81.11227701993704,3812,1546,2266,40.55613850996852,59.44386149003148
2,1,MIN,9,9,1906,1546,0,81.11227701993704,3812,1546,2266,40.55613850996852,59.44386149003148
2,2,MAX,10,10,1446,1446,0,100.0,2892,1446,426,50.0,14.730290456431536
2,2,MAX,10,11,1422,1446,0,101.68776371308017,2892,1446,426,50.0,14.730290456431536
2,2,MAX,10,12,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,2,MAX,10,7,482,482,0,100.0,964,482,142,50.0,14.730290456431536
2,2,MAX,10,8,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,2,MAX,10,9,1446,1446,0,100.0,2892,1446,426,50.0,14.730290456431536
2,2,MAX,11,10,488,976,0,200.0,976,976,0,100.0,0.0
2,2,MAX,11,11,488,976,0,200.0,976,976,0,100.0,0.0
2,2,MAX,11,12,244,488,0,200.0,488,488,0,100.0,0.0
2,2,MAX,11,7,488,976,0,200.0,976,976,0,100.0,0.0
2,2,MAX,11,8,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,2,MAX,11,9,488,976,0,200.0,976,976,0,100.0,0.0
2,2,MAX,12,10,140,280,0,200.0,280,280,0,100.0,0.0
2,2,MAX,12,11,280,560,0,200.0,560,560,0,100.0,0.0
2,2,MAX,12,12,140,280,0,200.0,280,280,0,100.0,0.0
2,2,MAX,12,7,280,560,0,200.0,560,560,0,100.0,0.0
2,2,MAX,12,8,280,560,0,200.0,560,560,0,100.0,0.0
2,2,MAX,12,9,140,280,0,200.0,280,280,0,100.0,0.0
2,2,MAX,7,10,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,2,MAX,7,11,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,2,MAX,7,12,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,2,MAX,7,7,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,2,MAX,7,8,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,2,MAX,7,9,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,2,MAX,8,10,1675,676,0,40.35820895522388,3350,676,2331,20.17910447761194,69.5820895522388
2,2,MAX,8,11,1675,676,0,40.35820895522388,3350,676,2331,20.17910447761194,69.5820895522388
2,2,MAX,8,12,4859,2028,0,41.73698291829594,10050,2028,6993,20.17910447761194,69.5820895522388
2,2,MAX,8,7,3350,1352,0,40.35820895522388,6700,1352,4662,20.17910447761194,69.5820895522388
2,2,MAX,8,8,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,2,MAX,8,9,3350,1352,0,40.35820895522388,6700,1352,4662,20.17910447761194,69.5820895522388
2,2,MAX,9,10,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,2,MAX,9,11,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,2,MAX,9,12,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,2,MAX,9,7,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,2,MAX,9,8,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,2,MAX,9,9,953,670,0,70.30430220356769,1906,670,896,35.15215110178384,47.00944386149003
2,2,MIN,10,10,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,2,MIN,10,11,1422,2040,0,143.45991561181435,2892,2040,852,70.53941908713693,29.460580912863072
2,2,MIN,10,12,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
2,2,MIN,10,7,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,2,MIN,10,8,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
2,2,MIN,10,9,482,680,0,141.07883817427387,964,680,284,70.53941908713693,29.460580912863072
2,2,MIN,11,10,488,976,0,200.0,976,976,0,100.0,0.0
2,2,MIN,11,11,488,976,0,200.0,976,976,0,100.0,0.0
2,2,MIN,11,12,244,488,0,200.0,488,488,0,100.0,0.0
2,2,MIN,11,7,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,2,MIN,11,8,244,488,0,200.0,488,488,0,100.0,0.0
2,2,MIN,11,9,244,488,0,200.0,488,488,0,100.0,0.0
2,2,MIN,12,10,280,560,0,200.0,560,560,0,100.0,0.0
2,2,MIN,12,11,140,280,0,200.0,280,280,0,100.0,0.0
2,2,MIN,12,12,280,560,0,200.0,560,560,0,100.0,0.0
2,2,MIN,12,7,280,560,0,200.0,560,560,0,100.0,0.0
2,2,MIN,12,8,140,280,0,200.0,280,280,0,100.0,0.0
2,2,MIN,12,9,280,560,0,200.0,560,560,0,100.0,0.0
2,2,MIN,7,10,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,2,MIN,7,11,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,2,MIN,7,12,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,2,MIN,7,7,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,2,MIN,7,8,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,2,MIN,7,9,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,2,MIN,8,10,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,2,MIN,8,11,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,2,MIN,8,12,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,2,MIN,8,7,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,2,MIN,8,8,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,2,MIN,8,9,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,2,MIN,9,10,2859,2463,0,86.14900314795383,5718,2463,3255,43.07450157397692,56.92549842602308
2,2,MIN,9,11,1906,1642,0,86.14900314795383,3812,1642,2170,43.07450157397692,56.92549842602308
2,2,MIN,9,12,1906,1642,0,86.14900314795383,3812,1642,2170,43.07450157397692,56.92549842602308
2,2,MIN,9,7,2812,2463,0,87.58890469416785,5718,2463,3255,43.07450157397692,56.92549842602308
2,2,MIN,9,8,2859,2463,0,86.14900314795383,5718,2463,3255,43.07450157397692,56.92549842602308
2,2,MIN,9,9,2859,2463,0,86.14900314795383,5718,2463,3255,43.07450157397692,56.92549842602308
2,3,MAX,10,10,482,482,0,100.0,964,482,142,50.0,14.730290456431536
2,3,MAX,10,11,1446,1446,0,100.0,2892,1446,426,50.0,14.730290456431536
2,3,MAX,10,12,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,3,MAX,10,7,482,482,0,100.0,964,482,142,50.0,14.730290456431536
2,3,MAX,10,8,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,3,MAX,10,9,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,3,MAX,11,10,244,244,0,100.0,488,244,0,50.0,0.0
2,3,MAX,11,11,244,244,0,100.0,488,244,0,50.0,0.0
2,3,MAX,11,12,244,244,0,100.0,488,244,0,50.0,0.0
2,3,MAX,11,7,244,244,0,100.0,488,244,0,50.0,0.0
2,3,MAX,11,8,244,244,0,100.0,488,244,0,50.0,0.0
2,3,MAX,11,9,488,488,0,100.0,976,488,0,50.0,0.0
2,3,MAX,12,10,420,840,0,200.0,840,840,0,100.0,0.0
2,3,MAX,12,11,280,560,0,200.0,560,560,0,100.0,0.0
2,3,MAX,12,12,280,560,0,200.0,560,560,0,100.0,0.0
2,3,MAX,12,7,280,560,0,200.0,560,560,0,100.0,0.0
2,3,MAX,12,8,140,280,0,200.0,280,280,0,100.0,0.0
2,3,MAX,12,9,140,280,0,200.0,280,280,0,100.0,0.0
2,3,MAX,7,10,8676,8979,0,103.49239280774552,17958,8979,0,50.0,0.0
2,3,MAX,7,11,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,3,MAX,7,12,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,3,MAX,7,7,8829,8979,0,101.69894665307508,17958,8979,0,50.0,0.0
2,3,MAX,7,8,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,3,MAX,7,9,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,3,MAX,8,10,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,3,MAX,8,11,3350,1352,0,40.35820895522388,6700,1352,4662,20.17910447761194,69.5820895522388
2,3,MAX,8,12,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,3,MAX,8,7,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,3,MAX,8,8,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,3,MAX,8,9,3350,1352,0,40.35820895522388,6700,1352,4662,20.17910447761194,69.5820895522388
2,3,MAX,9,10,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,3,MAX,9,11,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
